City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
6,Saint-Pierre,RE,75.2,scattered clouds,-21.34,55.48,Lindsey Hôtel
9,Gabu,GW,79.72,broken clouds,12.28,-14.22,Hotel karsa
11,Samarai,PG,81.14,broken clouds,-10.62,150.67,Nuli Sapi
13,Avarua,CK,80.6,moderate rain,-21.21,-159.78,Paradise Inn
33,Manado,ID,75.2,light rain,1.49,124.85,Aryaduta Hotel
37,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
39,Mandiana,GN,80.62,overcast clouds,10.63,-8.68,La maison De Metre Malick
43,Pimentel,PE,75.2,clear sky,-6.84,-79.93,Casona Del Muelle
44,Moree,AU,77.0,overcast clouds,-29.47,149.85,Molika Springs Motel
45,Pak Phanang,TH,78.66,broken clouds,8.35,100.2,Green Park Inn Hotel
55,Limon,CR,82.4,broken clouds,10.0,-83.03,Hotel Playa Bonita
56,Luis Correia,BR,83.17,clear sky,-2.88,-41.67,Hotel Amarração
58,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.08,Scoop Guest House
59,Rikitea,PF,76.32,light rain,-23.12,-134.97,Pension Maro'i
66,Champerico,GT,89.6,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
67,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
68,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
70,Faanui,PF,81.23,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Hambantota,LK,78.8,clear sky,6.12,81.12,Bungalow 63
79,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
80,Correntina,BR,78.33,overcast clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
81,Atuona,PF,79.34,clear sky,-9.8,-139.03,Villa Enata
82,Labuhan,ID,75.88,overcast clouds,-6.88,112.21,bador sepret
83,Omboue,GA,77.05,overcast clouds,-1.57,9.26,Hotel Olako
84,Harper,LR,78.96,broken clouds,4.38,-7.72,Screensaver
85,Pochutla,MX,86.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
88,Bandarbeyla,SO,77.0,clear sky,9.49,50.81,JABIR HOTEL
97,San Luis,AR,75.99,clear sky,-33.3,-66.34,Huarpes Hotel
98,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
99,Vaini,TO,77.0,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
100,Dakar,SN,77.0,clear sky,14.69,-17.44,Novotel Dakar
101,Castro,BR,78.03,heavy intensity rain,-24.79,-50.01,CHACARA BAILLY
104,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
106,Sabang,ID,80.38,overcast clouds,5.89,95.32,Hotel Citra
110,Tahoua,NE,84.2,clear sky,14.89,5.27,Bungalows Guesthouse
113,Kahului,US,77.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
116,Bhatkal,IN,79.68,clear sky,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
121,Sumenep,ID,76.78,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
124,Sao Jose Da Coroa Grande,BR,78.44,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
125,Tondano,ID,75.2,light rain,1.3,124.91,Villa Bella
126,Butaritari,KI,81.9,scattered clouds,3.07,172.79,Isles Sunset Lodge
131,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
