City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,55.4,54,75,25.28,broken clouds
1,Hualmay,PE,-11.1,-77.61,71.19,69,52,10.78,broken clouds
2,Arraial Do Cabo,BR,-22.97,-42.03,82.4,69,0,26.4,clear sky
3,Dikson,RU,73.51,80.55,31.41,99,100,27.11,light snow
4,Nemuro,JP,43.32,145.57,33.51,88,23,8.99,few clouds
5,Sao Filipe,CV,14.9,-24.5,74.86,67,94,12.5,overcast clouds
6,Saint-Pierre,RE,-21.34,55.48,75.2,73,40,2.24,scattered clouds
7,Kutum,SD,14.2,24.67,61.18,27,0,7.92,clear sky
8,Saskylakh,RU,71.92,114.08,12.16,93,95,15.75,overcast clouds
9,Gabu,GW,12.28,-14.22,79.72,23,60,3.0,broken clouds
10,Tignere,CM,7.37,12.65,68.72,33,36,2.82,scattered clouds
11,Samarai,PG,-10.62,150.67,81.14,83,68,8.5,broken clouds
12,Kayerkan,RU,69.35,87.76,5.0,84,90,29.08,snow
13,Avarua,CK,-21.21,-159.78,80.6,88,82,5.82,moderate rain
14,Tuktoyaktuk,CA,69.45,-133.04,-5.8,76,75,6.93,fog
15,Norman Wells,CA,65.28,-126.83,-2.2,77,75,2.24,broken clouds
16,Luan,CH,46.36,6.98,39.0,97,40,3.36,scattered clouds
17,Albany,US,42.6,-73.97,51.01,36,0,4.43,clear sky
18,Thompson,CA,55.74,-97.86,5.0,77,75,3.36,broken clouds
19,Busselton,AU,-33.65,115.33,52.0,97,31,19.01,scattered clouds
20,Brae,GB,60.4,-1.35,48.2,87,40,23.04,light rain
21,Abnub,EG,27.27,31.15,62.6,51,0,6.93,clear sky
22,Beloha,MG,-25.17,45.05,72.1,97,16,6.38,few clouds
23,Constitucion,CL,-35.33,-72.42,66.69,48,0,18.77,clear sky
24,Chokurdakh,RU,70.63,147.92,-6.7,92,98,11.63,overcast clouds
25,Freeport,US,40.66,-73.58,55.0,40,1,11.41,clear sky
26,Cherskiy,RU,68.75,161.3,-9.49,90,100,4.12,overcast clouds
27,Vostok,RU,46.49,135.88,2.39,94,100,4.7,overcast clouds
28,Ulaangom,MN,49.98,92.07,10.63,92,100,3.11,overcast clouds
29,New Norfolk,AU,-42.78,147.06,46.0,74,50,2.13,scattered clouds
30,Beringovskiy,RU,63.05,179.32,4.62,92,8,13.4,clear sky
31,Bluff,NZ,-46.6,168.33,51.01,93,100,3.0,light rain
32,Jinxiang,CN,27.43,120.61,56.19,69,100,12.1,light rain
33,Manado,ID,1.49,124.85,75.2,100,40,1.12,light rain
34,Sisimiut,GL,66.94,-53.67,24.89,94,100,7.11,overcast clouds
35,Pangnirtung,CA,66.15,-65.71,8.6,84,90,4.7,light snow
36,Guerrero Negro,MX,27.98,-114.06,73.31,23,0,7.36,clear sky
37,Saint-Philippe,RE,-21.36,55.77,75.2,73,40,2.24,scattered clouds
38,Hermanus,ZA,-34.42,19.23,60.01,80,0,6.91,clear sky
39,Mandiana,GN,10.63,-8.68,80.62,29,100,2.19,overcast clouds
40,Bengkulu,ID,-3.8,102.27,74.57,84,100,3.67,heavy intensity rain
41,Yellowknife,CA,62.46,-114.35,26.01,79,20,8.05,few clouds
42,Hobart,AU,-42.88,147.33,50.0,81,20,5.82,few clouds
43,Pimentel,PE,-6.84,-79.93,75.2,60,0,19.46,clear sky
44,Moree,AU,-29.47,149.85,77.0,31,100,5.82,overcast clouds
45,Pak Phanang,TH,8.35,100.2,78.66,83,80,7.11,broken clouds
46,Bethel,US,41.37,-73.41,53.01,32,1,4.7,clear sky
47,Ushuaia,AR,-54.8,-68.3,50.0,61,75,20.8,broken clouds
48,Caluquembe,AO,-13.78,14.68,62.33,98,100,1.74,moderate rain
49,Provideniya,RU,64.38,-173.3,21.2,67,75,17.9,heavy snow
50,Izhma,RU,65.01,53.91,15.85,93,100,8.77,overcast clouds
51,Raduzhnyy,RU,62.1,77.47,2.01,93,100,7.56,overcast clouds
52,Ilmenau,DE,50.68,10.9,33.8,69,75,1.12,broken clouds
53,Nouadhibou,MR,20.93,-17.03,69.8,73,0,11.41,clear sky
54,Jumla,NP,29.27,82.18,43.09,53,0,3.91,clear sky
55,Limon,CR,10.0,-83.03,82.4,78,75,9.17,broken clouds
56,Luis Correia,BR,-2.88,-41.67,83.17,69,0,13.85,clear sky
57,Mataura,NZ,-46.19,168.86,51.01,92,100,1.99,light rain
58,Hithadhoo,MV,-0.6,73.08,82.29,69,100,7.9,overcast clouds
59,Rikitea,PF,-23.12,-134.97,76.32,81,92,11.9,light rain
60,Port Lincoln,AU,-34.73,135.87,59.67,80,0,13.51,clear sky
61,Iskateley,RU,67.68,53.15,20.08,95,100,17.34,overcast clouds
62,Anadyr,RU,64.75,177.48,-0.4,84,75,15.66,light snow
63,Lasa,IT,46.62,10.7,30.2,80,5,4.7,clear sky
64,Oktyabrskoye,RU,43.06,44.74,28.4,100,99,4.47,overcast clouds
65,Avera,US,33.19,-82.53,59.0,93,90,5.82,overcast clouds
66,Champerico,GT,14.3,-91.92,89.6,55,20,9.17,few clouds
67,Alofi,NU,-19.06,-169.92,78.8,94,100,4.7,overcast clouds
68,Mahebourg,MU,-20.41,57.7,75.2,83,40,6.93,scattered clouds
69,Garowe,SO,8.41,48.48,74.48,62,0,12.66,clear sky
70,Faanui,PF,-16.48,-151.75,81.23,76,0,8.28,clear sky
71,Ola,RU,59.58,151.28,9.68,89,99,9.95,overcast clouds
72,Hasaki,JP,35.73,140.83,41.0,86,40,4.7,scattered clouds
73,Lebu,CL,-37.62,-73.65,55.99,64,0,25.61,clear sky
74,Esperance,AU,-33.87,121.9,60.8,82,75,19.46,broken clouds
75,Menongue,AO,-14.66,17.69,64.67,86,39,2.35,light rain
76,Jamestown,US,42.1,-79.24,50.0,39,1,9.17,clear sky
77,Airai,TL,-8.93,125.41,61.88,91,19,1.52,few clouds
78,Hambantota,LK,6.12,81.12,78.8,94,0,6.93,clear sky
79,Mount Isa,AU,-20.73,139.5,77.0,41,0,4.97,clear sky
80,Correntina,BR,-13.34,-44.64,78.33,63,100,4.03,overcast clouds
81,Atuona,PF,-9.8,-139.03,79.34,77,4,22.17,clear sky
82,Labuhan,ID,-6.88,112.21,75.88,89,100,9.69,overcast clouds
83,Omboue,GA,-1.57,9.26,77.05,88,85,4.83,overcast clouds
84,Harper,LR,4.38,-7.72,78.96,83,80,5.21,broken clouds
85,Pochutla,MX,15.74,-96.47,86.0,66,75,6.64,broken clouds
86,Witham,GB,51.8,0.64,45.0,94,18,0.51,few clouds
87,Austin,US,30.27,-97.74,55.99,66,75,14.99,broken clouds
88,Bandarbeyla,SO,9.49,50.81,77.0,77,0,13.42,clear sky
89,Nikolskoye,RU,59.7,30.79,30.2,86,90,13.42,overcast clouds
90,Pierre,US,44.37,-100.35,36.0,40,1,23.04,clear sky
91,Gulu,UG,2.77,32.3,65.03,82,81,2.3,broken clouds
92,Pandaria,IN,22.23,81.42,63.18,59,43,3.76,scattered clouds
93,Krasnorechenskiy,RU,44.63,135.35,3.88,91,57,6.38,broken clouds
94,Saldanha,ZA,-33.01,17.94,62.6,72,0,14.99,clear sky
95,Taltal,CL,-25.4,-70.48,68.85,53,22,6.96,few clouds
96,Kavarskas,LT,55.43,24.92,29.59,98,97,6.62,overcast clouds
97,San Luis,AR,-33.3,-66.34,75.99,46,0,23.13,clear sky
98,Kapaa,US,22.08,-159.32,78.8,69,20,13.87,few clouds
99,Vaini,TO,-21.2,-175.2,77.0,78,40,13.87,light intensity shower rain
100,Dakar,SN,14.69,-17.44,77.0,69,0,11.41,clear sky
101,Castro,BR,-24.79,-50.01,78.03,62,100,0.4,heavy intensity rain
102,Waycross,US,31.21,-82.35,62.6,82,90,3.36,light intensity drizzle
103,Barrow,US,71.29,-156.79,1.4,84,90,5.82,overcast clouds
104,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
105,Uhlove,UA,44.82,33.6,50.59,60,91,7.25,overcast clouds
106,Sabang,ID,5.89,95.32,80.38,76,100,4.59,overcast clouds
107,Kenai,US,60.55,-151.26,26.01,92,20,4.7,fog
108,Cape Town,ZA,-33.93,18.42,63.0,77,0,18.34,clear sky
109,Megion,RU,61.03,76.11,-4.0,83,75,6.69,broken clouds
110,Tahoua,NE,14.89,5.27,84.2,26,0,8.84,clear sky
111,Lyman,UA,48.99,37.8,41.74,83,99,10.65,overcast clouds
112,Vardo,NO,70.37,31.11,30.2,86,20,44.96,few clouds
113,Kahului,US,20.89,-156.47,77.0,65,40,11.41,scattered clouds
114,Ponta Do Sol,PT,32.67,-17.1,57.2,71,75,24.16,light intensity shower rain
115,Hofn,IS,64.25,-15.21,39.15,72,100,14.36,overcast clouds
